Ano;Município;"UF do Município";"Codigo SH4";"Descrição SH4";País;"Valor FOB (US$)"
2020;"Goiânia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Hong Kong";17074668
2020;"Nazário - GO";Goiás;3503;"Gelatinas e seus derivados; ictiocola e outras colas de origem animal, exceto cola de caseína";"Países Baixos (Holanda)";16917640
2020;"Ipameri - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Tailândia;16111700
2020;"Mineiros - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Emirados Árabes Unidos";15721362
2020;"Quirinópolis - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";China;15034634
2020;"Mineiros - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Hong Kong";14880384
2020;"Rio Verde - GO";Goiás;1005;Milho;"Arábia Saudita";14576299
2020;"Jataí - GO";Goiás;1005;Milho;"Taiwan (Formosa)";14007703
2020;"Barro Alto - GO";Goiás;7202;Ferro-ligas;"Reino Unido";13949120
2020;"Cristalina - GO";Goiás;1201;"Soja, mesmo triturada";Tailândia;13885953
2020;"Itumbiara - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Indonésia;13863019
2020;"Campo Limpo de Goiás - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";"Estados Unidos";13734134
2020;"Luziânia - GO";Goiás;1201;"Soja, mesmo triturada";Vietnã;13589565
2020;"Mineiros - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Egito;13528975
2020;"Itumbiara - GO";Goiás;4107;"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, exceto os da posição 4114";Hungria;13506325
2020;"Jataí - GO";Goiás;1201;"Soja, mesmo triturada";"Coreia do Sul";13427435
2020;"Palmeiras de Goiás - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Itália;12661903
2020;"São Simão - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Indonésia;12342560
2020;"Rio Verde - GO";Goiás;1005;Milho;Egito;12150603
2020;"Quirinópolis - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";"Emirados Árabes Unidos";12105310
2020;"Edéia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Bangladesh;12061806
2020;"Luziânia - GO";Goiás;1005;Milho;Vietnã;11998113
2020;"Itumbiara - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";"Países Baixos (Holanda)";11993552
2020;"Ipameri - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";"Países Baixos (Holanda)";11921028
2020;"Rio Verde - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Turquia;11750147
2020;"Rio Verde - GO";Goiás;1005;Milho;Bangladesh;11683943
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;Suíça;11675208
2020;"Rio Verde - GO";Goiás;1005;Milho;Marrocos;11561178
2020;"Jataí - GO";Goiás;1201;"Soja, mesmo triturada";Paquistão;11511017
2020;"Anápolis - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Indonésia;11395871
2020;"Catalão - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Chile;11362948
2020;"Rio Verde - GO";Goiás;1005;Milho;Espanha;11007265
2020;"Rio Verde - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Indonésia;10995392
2020;"Mozarlândia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Itália;10982905
2020;"Niquelândia - GO";Goiás;7202;Ferro-ligas;Espanha;10852807
2020;"Anápolis - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";"Países Baixos (Holanda)";10789747
2020;"Rio Verde - GO";Goiás;1507;"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados";Bangladesh;10728500
2020;"Goiânia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Filipinas;9932389
2020;"Jataí - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";"Coreia do Sul";9890780
2020;"Rio Verde - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";"Países Baixos (Holanda)";9771165
2020;"Itumbiara - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Tailândia;9567573
