NMU,ANO,SIFI,FCMI,MCSI,SUPCOM,INSND
Santa Rita do Araguaia,2010,3217,906,1284,414,0
Santa Rita do Novo Destino,2010,1921,418,305,74,12
Santa Rosa de Goiás,2010,1550,477,440,85,5
Santa Tereza de Goiás,2010,2035,623,523,168,37
Santa Terezinha de Goiás,2010,5200,1716,1668,268,61
Santo Antônio da Barra,2010,2394,531,606,138,69
Santo Antônio de Goiás,2010,2087,734,976,170,1
Santo Antônio do Descoberto,2010,30101,8864,10315,1137,266
São Domingos,2010,6692,1286,993,296,20
São Francisco de Goiás,2010,3532,804,739,156,26
São João d'Aliança,2010,4611,1584,1694,342,6
São João da Paraúna,2010,824,225,325,107,1
São Luís de Montes Belos,2010,13471,4512,6282,1708,296
São Luiz do Norte,2010,2386,641,668,176,0
São Miguel do Araguaia,2010,11985,3147,2881,982,133
São Miguel do Passa Quatro,2010,1846,621,530,170,12
São Patrício,2010,1097,299,288,66,0
São Simão,2010,8504,2282,3196,874,42
Senador Canedo,2010,36152,14358,16553,2277,392
Serranópolis,2010,4082,949,1018,264,50
Silvânia,2010,9718,2592,2872,1069,131
Simolândia,2010,3457,675,1013,132,7
Sítio d'Abadia,2010,1646,391,264,50,0
Taquaral de Goiás,2010,1859,522,615,137,58
Teresina de Goiás,2010,1483,386,432,90,0
Terezópolis de Goiás,2010,3158,981,1102,156,21
Três Ranchos,2010,1182,615,480,178,28
Trindade,2010,47552,17268,19232,3454,839
Trombas,2010,1876,508,465,126,0
Turvânia,2010,2532,636,853,221,14
Turvelândia,2010,2281,589,638,113,3
Uirapuru,2010,1620,441,332,113,0
Uruaçu,2010,16934,5789,6793,1883,80
Uruana,2010,7099,2148,2167,514,73
Urutaí,2010,1365,401,662,220,5
Valparaíso de Goiás,2010,45166,22054,34124,6545,853
Varjão,2010,2048,549,486,98,3
Vianópolis,2010,6253,1930,2020,480,72
Vicentinópolis,2010,3934,936,1021,283,18
Vila Boa,2010,2335,600,724,80,69
Vila Propício,2010,2938,873,377,87,22
